Makara;Azami m;Güzergâh Kesimi m;Sipariş/Fire Payı m;İşletme Yedeği m;Yuvarlama Mutabakatı m;Yüklenen m;Kapasite Bakiyesi m;Kalan Kapasite m;Aşım m;Tahmini Net Ağırlık kg;Kesimler;Fiziksel Durum;Veri Durumu;Not
DRM-014;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S3:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-015;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S4:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-016;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S5:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-017;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S6:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-018;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S7:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-019;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S8:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-020;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S9:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-021;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S10:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-022;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S11:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-023;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S12:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-024;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S13:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-025;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S14:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-026;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S15:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-027;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S16:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-028;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S17:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-029;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S18:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-030;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S19:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-031;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S20:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-032;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S2:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-033;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S3:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-034;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S4:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-035;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S5:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-036;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S6:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-037;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S7:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-038;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S8:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-039;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S9:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-040;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S10:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-041;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S11:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-042;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S12:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-043;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S13:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-044;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S14:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-045;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S15:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-046;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S16:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-047;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S17:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-048;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S18:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-049;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S19:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-050;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PB-G1-S20:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-051;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S2:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-052;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S3:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-053;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S4:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-054;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S5:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-055;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S6:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-056;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S7:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-057;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S8:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-058;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S9:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-059;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S10:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-060;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S11:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-061;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S12:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-062;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S13:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-063;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S14:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-064;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S15:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-065;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S16:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-066;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S17:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-067;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S18:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-068;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S19:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-069;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PC-G1-S20:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-070;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S2:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-071;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S3:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-072;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S4:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-073;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S5:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-074;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S6:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-075;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S7:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-076;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S8:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-077;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C2-PA-G1-S9:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-078;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S10:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-079;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S11:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-080;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S12:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
